model,alpha,N,accuracy,MFL_rate,entropy_mean,margin_mean,refusal_rate,format_violation_rate,marker_hit_rate
DeepSeek-R1-Distill-Qwen-7B,0.0,2800,0.3414285714285714,0.030714285714285715,1.1143643389325646,0.37667064579016063,0.0,0.0007142857142857143,0.0
DeepSeek-R1-Distill-Qwen-7B,2.0,800,0.325,0.1,1.1386874115494374,0.8260381548946583,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-7B,5.0,800,0.33,0.0925,1.1355166830889012,0.8260381548946583,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-7B,10.0,2800,0.3475,0.025357142857142856,1.115893840496732,0.37516575959265563,0.0,0.0017857142857142857,0.0
DeepSeek-R1-Distill-Qwen-7B,25.0,2000,0.387,0.0015,1.1103866488840248,0.19481680147185454,0.0,0.0015,0.0
DeepSeek-R1-Distill-Qwen-7B,40.0,2000,0.408,0.0015,1.1103866488840248,0.19481680147185454,0.0,0.0015,0.0
Llama-3.1-8B-Instruct,0.0,400,0.675,0.32,0.30642626003020146,3.264375,0.0,0.0,0.0
Llama-3.1-8B-Instruct,2.0,400,0.675,0.32,0.30553423004649083,3.26875,0.0,0.0,0.0
Llama-3.1-8B-Instruct,5.0,400,0.675,0.32,0.30553423004649083,3.26875,0.0,0.0,0.0
Llama-3.1-8B-Instruct,10.0,400,0.6775,0.3175,0.304004911154967,3.26875,0.0,0.0,0.0
Qwen2.5-7B-Instruct,0.0,400,0.705,0.34,0.3090193652435834,7.2525,0.0,0.0,0.0
Qwen2.5-7B-Instruct,2.0,400,0.705,0.355,0.3086980505337683,7.25,0.0,0.0,0.0
Qwen2.5-7B-Instruct,5.0,400,0.705,0.355,0.3086980505337683,7.25,0.0,0.0,0.0
Qwen2.5-7B-Instruct,10.0,400,0.705,0.355,0.3086980505337683,7.25,0.0,0.0,0.0
Qwen3-8B,0.0,400,0.72,0.3,0.4032583741957161,4.719375,0.0,0.0,0.0
Qwen3-8B,2.0,400,0.715,0.305,0.40278648914842935,4.71625,0.0,0.0,0.0
Qwen3-8B,5.0,400,0.715,0.305,0.4025285072445783,4.71625,0.0,0.0,0.0
Qwen3-8B,10.0,400,0.715,0.305,0.40227052534072727,4.71625,0.0,0.0,0.0
