model,dataset,direction,gamma,avg_proj
DeepSeek-R1-Distill-Qwen-7B,medqa,rand,0,-0.5171266250678205
DeepSeek-R1-Distill-Qwen-7B,medqa,rand,10,-0.5189999539870769
DeepSeek-R1-Distill-Qwen-7B,medqa,real,0,-0.5171266250678205
DeepSeek-R1-Distill-Qwen-7B,medqa,real,10,-0.5095964900869876
DeepSeek-R1-Distill-Qwen-7B,mmlu,rand,0,-0.6060348295960576
DeepSeek-R1-Distill-Qwen-7B,mmlu,rand,10,-0.5957408143356442
DeepSeek-R1-Distill-Qwen-7B,mmlu,real,0,-0.6060348295960576
DeepSeek-R1-Distill-Qwen-7B,mmlu,real,10,-0.5365243095755577
Llama-3.1-8B-Instruct,medqa,rand,0,-0.1931958551993593
Llama-3.1-8B-Instruct,medqa,rand,10,-0.19335521586549775
Llama-3.1-8B-Instruct,medqa,real,0,-0.1931958551993593
Llama-3.1-8B-Instruct,medqa,real,10,-0.19480510398590312
Llama-3.1-8B-Instruct,mmlu,rand,0,-0.18142832715064283
Llama-3.1-8B-Instruct,mmlu,rand,10,-0.17946727193891998
Llama-3.1-8B-Instruct,mmlu,real,0,-0.18142832715064283
Llama-3.1-8B-Instruct,mmlu,real,10,-0.17924804307520387
Qwen2.5-7B-Instruct,medqa,rand,0,-0.05459785582846962
Qwen2.5-7B-Instruct,medqa,rand,10,-0.06568191197002307
Qwen2.5-7B-Instruct,medqa,real,0,-0.05459785582846962
Qwen2.5-7B-Instruct,medqa,real,10,-0.06568191197002307
Qwen2.5-7B-Instruct,mmlu,rand,0,-0.13743950178497472
Qwen2.5-7B-Instruct,mmlu,rand,10,-0.14858079601312058
Qwen2.5-7B-Instruct,mmlu,real,0,-0.13743950178497472
Qwen2.5-7B-Instruct,mmlu,real,10,-0.14858079601312058
Qwen3-8B,medqa,rand,0,-1.3438731547025964
Qwen3-8B,medqa,rand,10,-1.3379351078975015
Qwen3-8B,medqa,real,0,-1.3438731547025964
Qwen3-8B,medqa,real,10,-1.3379351078975015
Qwen3-8B,mmlu,rand,0,-1.2634612038222672
Qwen3-8B,mmlu,rand,10,-1.2609430890362376
Qwen3-8B,mmlu,real,0,-1.2634612038222672
Qwen3-8B,mmlu,real,10,-1.2609430890362376
