model,match_target,ref_k,match_k,g_ref,g_match,match_error,acc_ref,acc_match,entropy_ref,entropy_match,margin_ref,margin_match,strict_fail_rate_ref,strict_fail_rate_match,format_violation_rate_ref,format_violation_rate_match,refusal_rate_ref,refusal_rate_match,marker_hit_rate_ref,marker_hit_rate_match
DeepSeek-R1-Distill-Qwen-7B,entropy,1,4,0.0,0.0,0.0,0.347,0.347,0.7738327820662898,0.7738327820662898,1.53125,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,entropy,1,4,2.0,0.0,0.7093822590549161,0.262,0.347,0.0644505230113737,0.7738327820662898,8.72333690052852,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,entropy,1,4,5.0,0.0,0.7704392610357538,0.252,0.347,0.003393521030536,0.7738327820662898,23.564402401303877,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,entropy,1,4,10.0,0.0,0.7722490244133005,0.251,0.347,0.0015837576529894,0.7738327820662898,47.81991139378771,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,entropy,4,1,0.0,0.0,0.0,0.347,0.347,0.7738327820662898,0.7738327820662898,1.53125,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,entropy,4,1,2.0,0.0,0.053855717916934664,0.358,0.347,0.8276884999832245,0.7738327820662898,1.412217360019684,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,entropy,4,1,5.0,0.0,0.11470829588830422,0.375,0.347,0.888541077954594,0.7738327820662898,1.2503266055583957,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,entropy,4,1,10.0,0.0,0.11209883709027557,0.359,0.347,0.8859316191565654,0.7738327820662898,1.2322304215431212,1.53125,,,,,,,,
Llama-3.1-8B-Instruct,entropy,1,4,0.0,0.0,0.0,0.68,0.68,0.5227143441450304,0.5227143441450304,3.2035,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,entropy,1,4,2.0,0.0,0.052232796841151063,0.635,0.68,0.4704815473038793,0.5227143441450304,3.0968994845980777,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,entropy,1,4,5.0,0.0,0.13059904074374679,0.561,0.68,0.3921153034012836,0.5227143441450304,3.0635331921712496,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,entropy,1,4,10.0,0.0,0.20033154691019817,0.491,0.68,0.3223827972348322,0.5227143441450304,3.218368606437929,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,entropy,4,1,0.0,0.0,0.0,0.68,0.68,0.5227143441450304,0.5227143441450304,3.2035,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,entropy,4,1,2.0,0.0,0.043649531170887546,0.689,0.68,0.5663638753159179,0.5227143441450304,2.9240689878463746,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,entropy,4,1,5.0,0.0,0.12479515194582613,0.677,0.68,0.6475094960908565,0.5227143441450304,2.2776341972351077,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,entropy,4,1,10.0,0.0,0.17175971236931686,0.482,0.68,0.6944740565143472,0.5227143441450304,1.429957879066467,3.2035,,,,,,,,
Qwen2.5-7B-Instruct,entropy,1,4,0.0,0.0,0.0,0.68,0.68,0.1807719765936137,0.1807719765936137,6.75975,6.75975,,,,,,,,
Qwen2.5-7B-Instruct,entropy,1,4,2.0,0.0,0.0068708287194510775,0.638,0.68,0.1739011478741626,0.1807719765936137,6.934651888946071,6.75975,,,,,,,,
Qwen2.5-7B-Instruct,entropy,1,4,5.0,0.0,0.0486477595233053,0.516,0.68,0.1321242170703084,0.1807719765936137,8.602850300946272,6.75975,,,,,,,,
Qwen2.5-7B-Instruct,entropy,1,4,10.0,0.0,0.11929319149736348,0.42,0.68,0.0614787850962502,0.1807719765936137,12.793804873565213,6.75975,,,,,,,,
Qwen2.5-7B-Instruct,entropy,4,1,0.0,0.0,0.0,0.68,0.68,0.1807719765936137,0.1807719765936137,6.75975,6.75975,,,,,,,,
Qwen2.5-7B-Instruct,entropy,4,1,2.0,0.0,0.06918944721204842,0.677,0.68,0.2499614238056621,0.1807719765936137,5.157039437770844,6.75975,,,,,,,,
Qwen2.5-7B-Instruct,entropy,4,1,5.0,0.0,0.22536380405906772,0.377,0.68,0.4061357806526814,0.1807719765936137,3.056344025373459,6.75975,,,,,,,,
Qwen2.5-7B-Instruct,entropy,4,1,10.0,0.0,0.0009607536990711152,0.191,0.68,0.1817327302926848,0.1807719765936137,8.060822856426238,6.75975,,,,,,,,
Qwen3-8B,entropy,1,4,0.0,0.0,0.0,0.704,0.704,0.2666985519603295,0.2666985519603295,4.877375,4.877375,,,,,,,,
Qwen3-8B,entropy,1,4,2.0,0.0,0.060120016467272996,0.493,0.704,0.2065785354930565,0.2666985519603295,5.550298800230026,4.877375,,,,,,,,
Qwen3-8B,entropy,1,4,5.0,0.0,0.19318289735046018,0.337,0.704,0.0735156546098693,0.2666985519603295,11.15800586014986,4.877375,,,,,,,,
Qwen3-8B,entropy,1,4,10.0,0.0,0.24880152272663858,0.287,0.704,0.0178970292336909,0.2666985519603295,22.24610382562876,4.877375,,,,,,,,
Qwen3-8B,entropy,4,1,0.0,0.0,0.0,0.704,0.704,0.2666985519603295,0.2666985519603295,4.877375,4.877375,,,,,,,,
Qwen3-8B,entropy,4,1,2.0,0.0,0.022556734066749407,0.682,0.704,0.2892552860270789,0.2666985519603295,4.618248513221741,4.877375,,,,,,,,
Qwen3-8B,entropy,4,1,5.0,0.0,0.06872143334207603,0.619,0.704,0.3354199853024055,0.2666985519603295,4.269515892505646,4.877375,,,,,,,,
Qwen3-8B,entropy,4,1,10.0,0.0,0.08102079995534461,0.502,0.704,0.3477193519156741,0.2666985519603295,4.097116194725037,4.877375,,,,,,,,
